epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2215.86,1.19091,1.08524,1.22711,0.66275,0.45041,0.50944,0.33106,1.21814,1.02033,1.20948,0.005842,0.005842,0.005842
44,2264.98,1.19084,1.08349,1.22722,0.62307,0.47001,0.52688,0.3405,1.21855,1.00881,1.20599,0.005743,0.005743,0.005743
45,2313.99,1.19456,1.08067,1.22106,0.70403,0.43463,0.50638,0.32553,1.21614,1.02196,1.20916,0.005644,0.005644,0.005644
46,2363.31,1.19217,1.07445,1.223,0.6212,0.45131,0.51401,0.33025,1.21491,1.01262,1.20557,0.005545,0.005545,0.005545
47,2413.19,1.181,1.06419,1.21762,0.64887,0.44829,0.51471,0.33422,1.21367,1.00323,1.20552,0.005446,0.005446,0.005446
48,2462.07,1.17835,1.06733,1.21719,0.65037,0.45613,0.51982,0.33586,1.20867,1.00456,1.20565,0.005347,0.005347,0.005347
49,2510.48,1.1722,1.05834,1.21492,0.66208,0.46607,0.5252,0.33774,1.19918,0.99415,1.19809,0.005248,0.005248,0.005248
50,2560.1,1.17385,1.05535,1.21008,0.61431,0.48046,0.52591,0.33287,1.19835,0.9983,1.19371,0.005149,0.005149,0.005149
51,2610.57,1.17108,1.04321,1.20934,0.603,0.47672,0.52402,0.33958,1.19556,0.98747,1.20135,0.00505,0.00505,0.00505
52,2662.05,1.16613,1.03994,1.20612,0.63984,0.48453,0.52311,0.33745,1.20013,0.99113,1.19948,0.004951,0.004951,0.004951
53,2712.68,1.16118,1.03777,1.20527,0.62551,0.47163,0.52994,0.34389,1.19399,0.98155,1.19404,0.004852,0.004852,0.004852
54,2763.37,1.1636,1.03224,1.20092,0.6819,0.45081,0.53168,0.34126,1.20172,0.98408,1.19714,0.004753,0.004753,0.004753
55,2812.4,1.15547,1.02243,1.19914,0.65694,0.45343,0.52351,0.34085,1.19942,0.98213,1.19611,0.004654,0.004654,0.004654
56,2862.65,1.15476,1.02596,1.19578,0.66384,0.46702,0.53391,0.34241,1.19662,0.97523,1.19401,0.004555,0.004555,0.004555
57,2911.91,1.15891,1.01946,1.198,0.66571,0.46283,0.52801,0.34582,1.18954,0.97339,1.18773,0.004456,0.004456,0.004456
58,2962.02,1.15438,1.02021,1.19594,0.65253,0.46995,0.52718,0.347,1.19177,0.98258,1.18959,0.004357,0.004357,0.004357
59,3012.41,1.14894,1.00422,1.19183,0.69609,0.45721,0.53177,0.3477,1.19485,0.9757,1.19091,0.004258,0.004258,0.004258
60,3062.73,1.1413,1.00384,1.18709,0.69865,0.46549,0.53604,0.34615,1.18786,0.96807,1.18872,0.004159,0.004159,0.004159
61,3112.71,1.14682,1.00089,1.18966,0.68324,0.46168,0.53003,0.34268,1.19117,0.96763,1.19203,0.00406,0.00406,0.00406
62,3163.26,1.13982,0.99935,1.18695,0.64017,0.47389,0.53617,0.34908,1.19277,0.95922,1.19245,0.003961,0.003961,0.003961
63,3213.65,1.13593,0.98576,1.18459,0.69355,0.45558,0.53593,0.34828,1.18244,0.95674,1.18723,0.003862,0.003862,0.003862
64,3263.63,1.13202,0.98664,1.18745,0.65839,0.47142,0.53899,0.34846,1.18388,0.94955,1.18873,0.003763,0.003763,0.003763
65,3312.99,1.12242,0.98168,1.18254,0.611,0.49649,0.54448,0.35189,1.18053,0.9533,1.18663,0.003664,0.003664,0.003664
66,3363.09,1.12843,0.97854,1.18203,0.62766,0.50122,0.54031,0.35221,1.17897,0.95349,1.18356,0.003565,0.003565,0.003565
67,3412.33,1.11948,0.96703,1.17765,0.6618,0.4754,0.53301,0.34752,1.18097,0.95427,1.18458,0.003466,0.003466,0.003466
68,3462.8,1.11476,0.96728,1.1772,0.69047,0.45662,0.53013,0.34662,1.17915,0.94889,1.18579,0.003367,0.003367,0.003367
69,3513.46,1.12065,0.9716,1.18045,0.62653,0.48327,0.53153,0.3486,1.17977,0.94751,1.18467,0.003268,0.003268,0.003268
70,3562.95,1.11144,0.95954,1.17079,0.63602,0.47449,0.5289,0.3459,1.17828,0.94877,1.18447,0.003169,0.003169,0.003169
71,3612.61,1.10765,0.94932,1.17094,0.63049,0.48188,0.5316,0.34718,1.17402,0.95097,1.18206,0.00307,0.00307,0.00307
72,3662.52,1.10632,0.9491,1.16705,0.62303,0.4854,0.53152,0.35063,1.17379,0.9497,1.18169,0.002971,0.002971,0.002971
73,3713.54,1.10842,0.94938,1.16521,0.65673,0.46176,0.53015,0.34709,1.17445,0.9499,1.17967,0.002872,0.002872,0.002872
74,3763.39,1.09497,0.93778,1.1648,0.69321,0.46121,0.53171,0.34689,1.17622,0.94851,1.18343,0.002773,0.002773,0.002773
75,3813.91,1.10654,0.94467,1.16833,0.70322,0.45941,0.53963,0.35312,1.1772,0.95134,1.18341,0.002674,0.002674,0.002674
76,3863.85,1.09931,0.93895,1.16193,0.65503,0.47378,0.54031,0.35549,1.17822,0.94878,1.18159,0.002575,0.002575,0.002575
77,3915.26,1.09905,0.93504,1.16417,0.62985,0.4928,0.5444,0.35601,1.18122,0.94731,1.18272,0.002476,0.002476,0.002476
78,3969.27,1.09587,0.93395,1.15939,0.63509,0.50136,0.54564,0.35686,1.18126,0.94559,1.18277,0.002377,0.002377,0.002377
79,4019.65,1.08827,0.92168,1.1565,0.62285,0.50141,0.54391,0.35411,1.18277,0.94617,1.18416,0.002278,0.002278,0.002278
80,4069.89,1.08514,0.9133,1.15183,0.64708,0.49309,0.54436,0.35517,1.18475,0.95086,1.1852,0.002179,0.002179,0.002179
81,4122.24,1.08039,0.91011,1.15036,0.65281,0.48982,0.54469,0.35548,1.18703,0.95061,1.18675,0.00208,0.00208,0.00208
82,4175.52,1.08249,0.9109,1.14936,0.64814,0.48418,0.54294,0.35435,1.18451,0.94932,1.184,0.001981,0.001981,0.001981
83,4228.05,1.07235,0.90032,1.1494,0.64793,0.48789,0.54361,0.35255,1.1834,0.94554,1.18366,0.001882,0.001882,0.001882
84,4279,1.06922,0.8959,1.14555,0.65718,0.47568,0.5382,0.35167,1.18241,0.94574,1.18318,0.001783,0.001783,0.001783
85,4328.7,1.06752,0.89371,1.14414,0.66356,0.47665,0.53836,0.35224,1.18045,0.9455,1.18208,0.001684,0.001684,0.001684
86,4379.33,1.06288,0.8878,1.14072,0.65059,0.48488,0.53778,0.35293,1.18215,0.94507,1.18316,0.001585,0.001585,0.001585
87,4430.64,1.06382,0.89042,1.14417,0.65311,0.49026,0.54006,0.35412,1.18287,0.94465,1.18453,0.001486,0.001486,0.001486
88,4481.99,1.0605,0.88467,1.14012,0.64615,0.48899,0.53777,0.35294,1.1822,0.94669,1.1839,0.001387,0.001387,0.001387
89,4532.25,1.05427,0.8835,1.13923,0.64087,0.48679,0.5399,0.35419,1.18305,0.9472,1.18454,0.001288,0.001288,0.001288
90,4583.72,1.05642,0.87725,1.13551,0.63946,0.49468,0.53952,0.35373,1.18338,0.94561,1.18567,0.001189,0.001189,0.001189
91,4636.77,1.03279,0.80466,1.10686,0.64498,0.49458,0.54111,0.3527,1.18484,0.94615,1.18694,0.00109,0.00109,0.00109
92,4686.99,1.01675,0.78433,1.09951,0.6396,0.50306,0.54189,0.3554,1.18531,0.94529,1.18781,0.000991,0.000991,0.000991
93,4736.1,1.009,0.77317,1.0946,0.62885,0.50883,0.54192,0.35666,1.18583,0.94615,1.18808,0.000892,0.000892,0.000892
94,4786.14,1.00673,0.77017,1.09199,0.63315,0.49623,0.54171,0.35616,1.18737,0.94693,1.18969,0.000793,0.000793,0.000793
95,4836.12,1.00255,0.76373,1.09046,0.62796,0.49584,0.54164,0.35551,1.18867,0.94773,1.19067,0.000694,0.000694,0.000694
96,4887.31,0.99244,0.75535,1.08619,0.63551,0.49814,0.54163,0.35585,1.18933,0.94656,1.19107,0.000595,0.000595,0.000595
97,4937.38,0.99215,0.75285,1.08797,0.653,0.49453,0.54247,0.3559,1.1897,0.94628,1.19152,0.000496,0.000496,0.000496
98,4986.93,0.9877,0.74681,1.08568,0.66027,0.49463,0.54259,0.35578,1.18974,0.94643,1.19176,0.000397,0.000397,0.000397
99,5037.4,0.98777,0.74487,1.08079,0.65635,0.49492,0.54271,0.35582,1.18972,0.94631,1.19207,0.000298,0.000298,0.000298
100,5087.34,0.98746,0.73993,1.081,0.66138,0.4858,0.54241,0.35552,1.18995,0.94736,1.19259,0.000199,0.000199,0.000199
